timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1685642455686,6331,HTTP Request,200,OK,Thread Group 1-1,text,true,,588488,304,4,4,https://en.wikipedia.org/wiki/Python_(programming_language),571,0,486
1685642455686,571,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,,true,,124,152,4,4,http://en.wikipedia.org/wiki/Python_(programming_language),571,0,486
1685642456257,5760,HTTP Request-1,200,OK,Thread Group 1-1,text,true,,588364,152,4,4,https://en.wikipedia.org/wiki/Python_(programming_language),747,0,505
1685642457685,4950,HTTP Request,200,OK,Thread Group 1-2,text,true,,588488,304,4,4,https://en.wikipedia.org/wiki/Python_(programming_language),643,0,281
1685642457685,643,HTTP Request-0,301,Moved Permanently,Thread Group 1-2,,true,,124,152,4,4,http://en.wikipedia.org/wiki/Python_(programming_language),643,0,281
1685642458328,4307,HTTP Request-1,200,OK,Thread Group 1-2,text,true,,588364,152,4,4,https://en.wikipedia.org/wiki/Python_(programming_language),1146,0,595
1685642461684,1846,HTTP Request,200,OK,Thread Group 1-4,text,true,,588488,304,4,4,https://en.wikipedia.org/wiki/Python_(programming_language),223,0,86
1685642461684,223,HTTP Request-0,301,Moved Permanently,Thread Group 1-4,,true,,124,152,4,4,http://en.wikipedia.org/wiki/Python_(programming_language),223,0,86
1685642461907,1623,HTTP Request-1,200,OK,Thread Group 1-4,text,true,,588364,152,4,4,https://en.wikipedia.org/wiki/Python_(programming_language),327,0,216
1685642459685,3854,HTTP Request,200,OK,Thread Group 1-3,text,true,,588488,304,4,4,https://en.wikipedia.org/wiki/Python_(programming_language),2111,0,423
1685642459685,2111,HTTP Request-0,301,Moved Permanently,Thread Group 1-3,,true,,124,152,4,4,http://en.wikipedia.org/wiki/Python_(programming_language),2111,0,423
1685642461797,1742,HTTP Request-1,200,OK,Thread Group 1-3,text,true,,588364,152,4,4,https://en.wikipedia.org/wiki/Python_(programming_language),359,0,207
1685642462635,993,HTTP Request,200,OK,Thread Group 1-2,text,true,,588488,304,4,4,https://en.wikipedia.org/wiki/Python_(programming_language),117,0,0
1685642462635,117,HTTP Request-0,301,Moved Permanently,Thread Group 1-2,,true,,124,152,4,4,http://en.wikipedia.org/wiki/Python_(programming_language),117,0,0
1685642462752,876,HTTP Request-1,200,OK,Thread Group 1-2,text,true,,588364,152,4,4,https://en.wikipedia.org/wiki/Python_(programming_language),97,0,0
1685642463539,2996,HTTP Request,200,OK,Thread Group 1-3,text,true,,588488,304,5,5,https://en.wikipedia.org/wiki/Python_(programming_language),89,0,0
1685642463539,89,HTTP Request-0,301,Moved Permanently,Thread Group 1-3,,true,,124,152,5,5,http://en.wikipedia.org/wiki/Python_(programming_language),89,0,0
1685642463628,2907,HTTP Request-1,200,OK,Thread Group 1-3,text,true,,588364,152,5,5,https://en.wikipedia.org/wiki/Python_(programming_language),188,0,0
1685642463686,4759,HTTP Request,200,OK,Thread Group 1-5,text,true,,588488,304,5,5,https://en.wikipedia.org/wiki/Python_(programming_language),147,0,75
1685642463686,147,HTTP Request-0,301,Moved Permanently,Thread Group 1-5,,true,,124,152,5,5,http://en.wikipedia.org/wiki/Python_(programming_language),147,0,75
1685642463833,4612,HTTP Request-1,200,OK,Thread Group 1-5,text,true,,588364,152,5,5,https://en.wikipedia.org/wiki/Python_(programming_language),2552,0,542
1685642462017,8372,HTTP Request,200,OK,Thread Group 1-1,text,true,,588488,304,6,6,https://en.wikipedia.org/wiki/Python_(programming_language),121,0,0
1685642462017,121,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,,true,,124,152,6,6,http://en.wikipedia.org/wiki/Python_(programming_language),121,0,0
1685642462138,8251,HTTP Request-1,200,OK,Thread Group 1-1,text,true,,588364,152,6,6,https://en.wikipedia.org/wiki/Python_(programming_language),147,0,0
1685642463530,9116,HTTP Request,200,OK,Thread Group 1-4,text,true,,588488,304,6,6,https://en.wikipedia.org/wiki/Python_(programming_language),98,0,0
